id,name,temporadas_id
1,The One with the Sonogram at the End,22
2,The One with the Thumb,22
3,The One with George Stephanopoulos,22
4,The One with the East German Laundry Detergent,22
5,The One with the Butt,22
6,The One with the Blackout,22
7,The One Where Nana Dies Twice,22
8,The One Where Underdog Gets Away,22
9,The One with the Monkey,22
10,The One with Mrs. Bing,22
11,The One with the Dozen Lasagnas,22
12,The One with the Boobies,22
13,The One with the Candy Hearts,22
14,The One with the Stoned Guy,22
15,The One with Two Parts: Part 1,22
16,The One with Two Parts: Part 2,22
17,The One with All the Poker,22
18,The One Where the Monkey Gets Away,22
19,The One with the Evil Orthodontist,22
20,The One with the Fake Monica,22
21,The One with the Ick Factor,22
22,The One with the Birth,22
23,The One Where Rachel Finds Out,22
24,The One with Ross's New Girlfriend,23
25,The One with the Breast Milk,23
26,The One Where Heckles Dies,23
27,The One with Phoebe's Husband,23
28,The One with Five Steaks and an Eggplant,23
29,The One with the Baby on the Bus,23
30,The One Where Ross Finds Out,23
31,The One with the List,23
32,The One with Phoebe's Dad,23
33,The One with Russ,23
34,The One with the Lesbian Wedding,23
35,The One After the Superbowl: Part 1,23
36,The One After the Superbowl: Part 2,23
37,The One with the Prom Video,23
38,The One Where Ross and Rachel... You Know,23
39,The One Where Joey Moves Out,23
40,The One Where Eddie Moves In,23
41,The One Where Dr. Ramoray Dies,23
42,The One Where Eddie Won't Go,23
43,The One Where Old Yeller Dies,23
44,The One with the Bullies,23
45,The One with the Two Parties,23
46,The One with the Chicken Pox,23
47,The One with Barry and Mindy's Wedding,23
48,The One with the Princess Leia Fantasy,23
49,The One Where No One's Ready,23
50,The One with the Jam,23
51,The One with the Metaphorical Tunnel,23
52,The One with Frank Jr.,23
53,The One with the Flashback,23
54,The One with the Race Car Bed,23
55,The One with the Giant Poking Device,23
56,The One with the Football,23
57,The One Where Rachel Quits,23
58,The One Where Chandler Can't Remember Which Sister,23
59,The One with All the Jealousy,23
60,The One Where Monica and Richard Are Just Friends,23
61,The One with Phoebe's Ex-Partner,23
62,The One Where Ross and Rachel Take a Break,23
63,The One with the Morning After,23
64,The One Without the Ski Trip,23
65,The One with the Hypnosis Tape,23
66,The One with the Tiny T-Shirt,23
67,The One with the Dollhouse,23
68,The One with the Chick and the Duck,23
69,The One with the Screamer,23
70,The One with Ross's Thing,23
71,The One with the Ultimate Fighting Champion,23
72,The One at the Beach,23
73,Unaired Pilot,10
74,Pilot,10
75,The Big Bran Hypothesis,10
76,The Fuzzy Boots Corollary,10
77,The Luminous Fish Effect,10
78,The Hamburger Postulate,10
79,The Middle Earth Paradigm,10
80,The Dumpling Paradox,10
81,The Grasshopper Experiment,10
82,The Cooper-Hofstadter Polarization,10
83,The Loobenfeld Decay,10
84,The Pancake Batter Anomaly,10
85,The Jerusalem Duality,10
86,The Bat Jar Conjecture,10
87,The Nerdvana Annihilation,10
88,The Pork Chop Indeterminacy,10
89,The Peanut Reaction,10
90,The Tangerine Factor,10
91,The Bad Fish Paradigm,11
92,The Codpiece Topology,11
93,The Barbarian Sublimation,11
94,The Griffin Equivalency,11
95,The Euclid Alternative,11
96,The Cooper-Nowitzki Theorem,11
97,The Panty Piñata Polarization,11
98,The Lizard-Spock Expansion,11
99,The White Asparagus Triangulation,11
100,The Vartabedian Conundrum,11
101,The Bath Item Gift Hypothesis,11
102,The Killer Robot Instability,11
103,The Friendship Algorithm,11
104,The Financial Permeability,11
105,The Maternal Capacitance,11
106,The Cushion Saturation,11
107,The Terminator Decoupling,11
108,The Work Song Nanocluster,11
109,The Dead Hooker Juxtaposition,11
110,The Hofstadter Isotope,11
111,The Vegas Renormalization,11
112,The Classified Materials Turbulence,11
113,The Monopolar Expedition,11
114,Pilot,1
115,Diversity Day,1
116,Health Care,1
117,The Alliance,1
118,Basketball,1
119,Hot Girl,1
120,The Dundies,2
121,Sexual Harassment,2
122,Office Olympics,2
123,The Fire,2
124,Halloween,2
125,The Fight,2
126,The Client,2
127,Performance Review,2
128,E-Mail Surveillance,2
129,Christmas Party,2
130,Booze Cruise,2
131,The Injury,2
132,The Secret,2
133,The Carpet,2
134,Boys and Girls,2
135,Valentine's Day,2
136,Dwight's Speech,2
137,Take Your Daughter to Work Day,2
138,Michael's Birthday,2
139,Drug Testing,2
140,Conflict Resolution,2
141,Casino Night,2
